pop,scenario,date,covid_region,persons_above65_first_vaccinated_perc
109686,continued_trend,2021-02-16,3,0.371076508576211
109686,continued_trend,2021-02-17,3,0.376408065288052
109686,continued_trend,2021-02-18,3,0.381739621999894
109686,continued_trend,2021-02-19,3,0.387071178711753
109686,continued_trend,2021-02-20,3,0.392402735423594
109686,continued_trend,2021-02-21,3,0.397734292135436
109686,continued_trend,2021-02-22,3,0.403065848847278
109686,continued_trend,2021-02-23,3,0.40839740555912
109686,continued_trend,2021-02-24,3,0.413728962270961
109686,continued_trend,2021-02-25,3,0.419060518982803
109686,continued_trend,2021-02-26,3,0.424392075694645
109686,continued_trend,2021-02-27,3,0.429723632406486
109686,continued_trend,2021-02-28,3,0.435055189118328
109686,continued_trend,2021-03-01,3,0.44038674583017
109686,continued_trend,2021-03-02,3,0.445718302542028
109686,continued_trend,2021-03-03,3,0.45104985925387
109686,continued_trend,2021-03-04,3,0.456381415965712
109686,continued_trend,2021-03-05,3,0.461712972677554
109686,continued_trend,2021-03-06,3,0.467044529389395
109686,continued_trend,2021-03-07,3,0.472376086101237
109686,continued_trend,2021-03-08,3,0.477707642813079
109686,continued_trend,2021-03-09,3,0.48303919952492
109686,continued_trend,2021-03-10,3,0.488370756236762
109686,continued_trend,2021-03-11,3,0.493702312948604
109686,continued_trend,2021-03-12,3,0.499033869660446
109686,continued_trend,2021-03-13,3,0.504365426372304
109686,continued_trend,2021-03-14,3,0.509696983084146
109686,continued_trend,2021-03-15,3,0.515028539795988
109686,continued_trend,2021-03-16,3,0.520360096507829
109686,continued_trend,2021-03-17,3,0.525691653219671
109686,continued_trend,2021-03-18,3,0.531023209931513
109686,continued_trend,2021-03-19,3,0.536354766643354
109686,continued_trend,2021-03-20,3,0.541686323355196
109686,continued_trend,2021-03-21,3,0.547017880067038
109686,continued_trend,2021-03-22,3,0.55234943677888
109686,continued_trend,2021-03-23,3,0.557680993490721
109686,continued_trend,2021-03-24,3,0.56301255020258
109686,continued_trend,2021-03-25,3,0.568344106914422
109686,continued_trend,2021-03-26,3,0.573675663626263
109686,continued_trend,2021-03-27,3,0.579007220338105
109686,continued_trend,2021-03-28,3,0.584338777049947
109686,continued_trend,2021-03-29,3,0.589670333761788
109686,continued_trend,2021-03-30,3,0.59500189047363
109686,continued_trend,2021-03-31,3,0.600333447185472
109686,continued_trend,2021-04-01,3,0.605665003897314
109686,continued_trend,2021-04-02,3,0.610996560609155
109686,continued_trend,2021-04-03,3,0.616328117320997
109686,continued_trend,2021-04-04,3,0.621659674032856
109686,continued_trend,2021-04-05,3,0.626991230744697
109686,continued_trend,2021-04-06,3,0.632322787456539
109686,continued_trend,2021-04-07,3,0.637654344168381
109686,continued_trend,2021-04-08,3,0.642985900880223
109686,continued_trend,2021-04-09,3,0.648317457592064
109686,continued_trend,2021-04-10,3,0.653649014303906
109686,continued_trend,2021-04-11,3,0.658980571015748
109686,continued_trend,2021-04-12,3,0.664312127727589
109686,continued_trend,2021-04-13,3,0.669643684439431
109686,continued_trend,2021-04-14,3,0.674975241151273
109686,continued_trend,2021-04-15,3,0.680306797863131
109686,continued_trend,2021-04-16,3,0.685638354574973
109686,continued_trend,2021-04-17,3,0.690969911286815
109686,continued_trend,2021-04-18,3,0.696301467998657
109686,continued_trend,2021-04-19,3,0.701633024710498
109686,continued_trend,2021-04-20,3,0.70696458142234
109686,continued_trend,2021-04-21,3,0.712296138134182
109686,continued_trend,2021-04-22,3,0.717627694846023
109686,continued_trend,2021-04-23,3,0.722959251557865
109686,continued_trend,2021-04-24,3,0.728290808269707
109686,continued_trend,2021-04-25,3,0.733622364981549
109686,continued_trend,2021-04-26,3,0.738953921693407
109686,continued_trend,2021-04-27,3,0.744285478405249
109686,continued_trend,2021-04-28,3,0.749617035117091
109686,continued_trend,2021-04-29,3,0.754948591828932
109686,continued_trend,2021-04-30,3,0.760280148540774
