date,persons_first_vaccinated,model,covid_region,scenario,pop,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc,date_ceiling,persons_first_vaccinated_perc_ceiling
2021-07-17,366257.09252467,predicted,6,continued_trend,739098,366257.09252467,0.495546047377574,372840.90747533,2046.67146474868,0.00548939621086,2021-10-10,0.730923594743877
2021-07-18,368303.763989411,predicted,6,continued_trend,739098,368303.763989411,0.498315194993643,370794.236010589,2046.67146474123,0.0055196960091979,2021-10-10,0.730923594743877
2021-07-19,370350.43545416,predicted,6,continued_trend,739098,370350.43545416,0.501084342609722,368747.56454584,2046.67146474868,0.00555033215546635,2021-10-10,0.730923594743877
2021-07-20,372397.106918901,predicted,6,continued_trend,739098,372397.106918901,0.50385349022579,366700.893081099,2046.67146474123,0.00558131028137036,2021-10-10,0.730923594743877
2021-07-21,374443.77838365,predicted,6,continued_trend,739098,374443.77838365,0.506622637841869,364654.22161635,2046.67146474868,0.00561263614521366,2021-10-10,0.730923594743877
2021-07-22,376490.449848391,predicted,6,continued_trend,739098,376490.449848391,0.509391785457938,362607.550151609,2046.67146474123,0.00564431563514191,2021-10-10,0.730923594743877
2021-07-23,378537.12131314,predicted,6,continued_trend,739098,378537.12131314,0.512160933074017,360560.87868686,2046.67146474868,0.00567635477315933,2021-10-10,0.730923594743877
2021-07-24,380583.792777881,predicted,6,continued_trend,739098,380583.792777881,0.514930080690086,358514.207222119,2046.67146474123,0.00570875971861613,2021-10-10,0.730923594743877
2021-07-25,382630.46424263,predicted,6,continued_trend,739098,382630.46424263,0.517699228306165,356467.53575737,2046.67146474868,0.00574153677248676,2021-10-10,0.730923594743877
2021-07-26,384677.135707371,predicted,6,continued_trend,739098,384677.135707371,0.520468375922234,354420.864292629,2046.67146474123,0.00577469238112175,2021-10-10,0.730923594743877
2021-07-27,386723.80717212,predicted,6,continued_trend,739098,386723.80717212,0.523237523538312,352374.19282788,2046.67146474868,0.0058082331408089,2021-10-10,0.730923594743877
2021-07-28,388770.478636861,predicted,6,continued_trend,739098,388770.478636861,0.526006671154381,350327.521363139,2046.67146474123,0.00584216580181182,2021-10-10,0.730923594743877
2021-07-29,390817.15010161,predicted,6,continued_trend,739098,390817.15010161,0.52877581877046,348280.849898391,2046.67146474868,0.00587649727323736,2021-10-10,0.730923594743877
2021-07-30,392863.821566351,predicted,6,continued_trend,739098,392863.821566351,0.531544966386529,346234.178433649,2046.67146474123,0.00591123462738513,2021-10-10,0.730923594743877
2021-07-31,394910.493031099,predicted,6,continued_trend,739098,394910.493031099,0.534314114002608,344187.506968901,2046.67146474868,0.00594638510494691,2021-10-10,0.730923594743877
2021-08-01,396957.164495841,predicted,6,continued_trend,739098,396957.164495841,0.537083261618677,342140.835504159,2046.67146474123,0.00598195611969373,2021-10-10,0.730923594743877
2021-08-02,399003.835960589,predicted,6,continued_trend,739098,399003.835960589,0.539852409234756,340094.164039411,2046.67146474868,0.00601795526403537,2021-10-10,0.730923594743877
2021-08-03,401050.507425338,predicted,6,continued_trend,739098,401050.507425338,0.542621556850834,338047.492574662,2046.67146474868,0.00605439031409661,2021-10-10,0.730923594743877
2021-08-04,403097.178890079,predicted,6,continued_trend,739098,403097.178890079,0.545390704466903,336000.821109921,2046.67146474123,0.00609126923553462,2021-10-10,0.730923594743877
2021-08-05,405143.850354828,predicted,6,continued_trend,739098,405143.850354828,0.548159852082982,333954.149645172,2046.67146474868,0.00612860018934719,2021-10-10,0.730923594743877
2021-08-06,407190.521819569,predicted,6,continued_trend,739098,407190.521819569,0.550928999699051,331907.478180431,2046.67146474123,0.00616639153767009,2021-10-10,0.730923594743877
2021-08-07,409237.193284318,predicted,6,continued_trend,739098,409237.193284318,0.55369814731513,329860.806715682,2046.67146474868,0.00620465185035691,2021-10-10,0.730923594743877
2021-08-08,411283.864749059,predicted,6,continued_trend,739098,411283.864749059,0.556467294931199,327814.135250941,2046.67146474123,0.00624338991109858,2021-10-10,0.730923594743877
2021-08-09,413330.536213808,predicted,6,continued_trend,739098,413330.536213808,0.559236442547278,325767.463786192,2046.67146474868,0.00628261472450776,2021-10-10,0.730923594743877
2021-08-10,415377.207678549,predicted,6,continued_trend,739098,415377.207678549,0.562005590163346,323720.792321451,2046.67146474123,0.00632233552273315,2021-10-10,0.730923594743877
2021-08-11,417423.879143298,predicted,6,continued_trend,739098,417423.879143298,0.564774737779425,321674.120856702,2046.67146474868,0.00636256177306977,2021-10-10,0.730923594743877
2021-08-12,419470.550608039,predicted,6,continued_trend,739098,419470.550608039,0.567543885395494,319627.449391961,2046.67146474123,0.00640330318511344,2021-10-10,0.730923594743877
2021-08-13,421517.222072788,predicted,6,continued_trend,739098,421517.222072788,0.570313033011573,317580.777927212,2046.67146474868,0.00644456971894491,2021-10-10,0.730923594743877
2021-08-14,423563.893537529,predicted,6,continued_trend,739098,423563.893537529,0.573082180627642,315534.106462471,2046.67146474123,0.00648637159287456,2021-10-10,0.730923594743877
2021-08-15,425610.565002278,predicted,6,continued_trend,739098,425610.565002278,0.575851328243721,313487.434997723,2046.67146474868,0.00652871929225345,2021-10-10,0.730923594743877
2021-08-16,427657.236467019,predicted,6,continued_trend,739098,427657.236467019,0.57862047585979,311440.763532981,2046.67146474123,0.00657162357786376,2021-10-10,0.730923594743877
2021-08-17,429703.907931767,predicted,6,continued_trend,739098,429703.907931767,0.581389623475868,309394.092068233,2046.67146474868,0.00661509549541533,2021-10-10,0.730923594743877
2021-08-18,431750.579396516,predicted,6,continued_trend,739098,431750.579396516,0.584158771091947,307347.420603484,2046.67146474868,0.00665914638466786,2021-10-10,0.730923594743877
2021-08-19,433797.250861257,predicted,6,continued_trend,739098,433797.250861257,0.586927918708016,305300.749138743,2046.67146474123,0.00670378788953161,2021-10-10,0.730923594743877
2021-08-20,435843.922326006,predicted,6,continued_trend,739098,435843.922326006,0.589697066324095,303254.077673994,2046.67146474868,0.00674903196833154,2021-10-10,0.730923594743877
2021-08-21,437890.593790747,predicted,6,continued_trend,739098,437890.593790747,0.592466213940164,301207.406209253,2046.67146474123,0.00679489090424085,2021-10-10,0.730923594743877
2021-08-22,439937.265255496,predicted,6,continued_trend,739098,439937.265255496,0.595235361556243,299160.734744504,2046.67146474868,0.00684137731676794,2021-10-10,0.730923594743877
2021-08-23,441983.936720237,predicted,6,continued_trend,739098,441983.936720237,0.598004509172312,297114.063279763,2046.67146474123,0.00688850417293806,2021-10-10,0.730923594743877
2021-08-24,444030.608184986,predicted,6,continued_trend,739098,444030.608184986,0.600773656788391,295067.391815014,2046.67146474868,0.00693628479975109,2021-10-10,0.730923594743877
2021-08-25,446077.279649727,predicted,6,continued_trend,739098,446077.279649727,0.603542804404459,293020.720350273,2046.67146474123,0.0069847328963449,2021-10-10,0.730923594743877
2021-08-26,448123.951114476,predicted,6,continued_trend,739098,448123.951114476,0.606311952020538,290974.048885524,2046.67146474868,0.00703386254749436,2021-10-10,0.730923594743877
2021-08-27,450170.622579217,predicted,6,continued_trend,739098,450170.622579217,0.609081099636607,288927.377420783,2046.67146474123,0.00708368823685592,2021-10-10,0.730923594743877
2021-08-28,452217.294043966,predicted,6,continued_trend,739098,452217.294043966,0.611850247252686,286880.705956034,2046.67146474868,0.00713422486161318,2021-10-10,0.730923594743877
2021-08-29,454263.965508707,predicted,6,continued_trend,739098,454263.965508707,0.614619394868755,284834.034491293,2046.67146474123,0.00718548774691387,2021-10-10,0.730923594743877
2021-08-30,456310.636973456,predicted,6,continued_trend,739098,456310.636973456,0.617388542484834,282787.363026544,2046.67146474868,0.00723749266177982,2021-10-10,0.730923594743877
2021-08-31,458357.308438197,predicted,6,continued_trend,739098,458357.308438197,0.620157690100902,280740.691561803,2046.67146474123,0.00729025583486058,2021-10-10,0.730923594743877
2021-09-01,460403.979902946,predicted,6,continued_trend,739098,460403.979902946,0.622926837716981,278694.020097055,2046.67146474868,0.0073437939717398,2021-10-10,0.730923594743877
2021-09-02,462450.651367694,predicted,6,continued_trend,739098,462450.651367694,0.62569598533306,276647.348632306,2046.67146474868,0.00739812427217196,2021-10-10,0.730923594743877
2021-09-03,464497.322832435,predicted,6,continued_trend,739098,464497.322832435,0.628465132949129,274600.677167565,2046.67146474123,0.00745326444877019,2021-10-10,0.730923594743877
2021-09-04,466543.994297184,predicted,6,continued_trend,739098,466543.994297184,0.631234280565208,272554.005702816,2046.67146474868,0.00750923274626279,2021-10-10,0.730923594743877
2021-09-05,468590.665761925,predicted,6,continued_trend,739098,468590.665761925,0.634003428181277,270507.334238075,2046.67146474123,0.00756604796134638,2021-10-10,0.730923594743877
2021-09-06,470637.337226674,predicted,6,continued_trend,739098,470637.337226674,0.636772575797356,268460.662773326,2046.67146474868,0.00762372946414418,2021-10-10,0.730923594743877
2021-09-07,472684.008691415,predicted,6,continued_trend,739098,472684.008691415,0.639541723413425,266413.991308585,2046.67146474123,0.00768229721978299,2021-10-10,0.730923594743877
2021-09-08,474730.680156164,predicted,6,continued_trend,739098,474730.680156164,0.642310871029503,264367.319843836,2046.67146474868,0.00774177181187775,2021-10-10,0.730923594743877
2021-09-09,476777.351620905,predicted,6,continued_trend,739098,476777.351620905,0.645080018645572,262320.648379095,2046.67146474123,0.00780217446620315,2021-10-10,0.730923594743877
2021-09-10,478824.023085654,predicted,6,continued_trend,739098,478824.023085654,0.647849166261651,260273.976914346,2046.67146474868,0.00786352707640158,2021-10-10,0.730923594743877
2021-09-11,480870.694550395,predicted,6,continued_trend,739098,480870.694550395,0.65061831387772,258227.305449605,2046.67146474123,0.00792585222998678,2021-10-10,0.730923594743877
2021-09-12,482917.366015144,predicted,6,continued_trend,739098,482917.366015144,0.653387461493799,256180.633984856,2046.67146474868,0.00798917323652836,2021-10-10,0.730923594743877
2021-09-13,484964.037479885,predicted,6,continued_trend,739098,484964.037479885,0.656156609109868,254133.962520115,2046.67146474123,0.0080535141562562,2021-10-10,0.730923594743877
2021-09-14,487010.708944634,predicted,6,continued_trend,739098,487010.708944634,0.658925756725946,252087.291055366,2046.67146474868,0.00811889983100801,2021-10-10,0.730923594743877
2021-09-15,489057.380409375,predicted,6,continued_trend,739098,489057.380409375,0.661694904342015,250040.619590625,2046.67146474123,0.00818535591573925,2021-10-10,0.730923594743877
2021-09-16,491104.051874124,predicted,6,continued_trend,739098,491104.051874124,0.664464051958094,247993.948125877,2046.67146474868,0.00825290891255876,2021-10-10,0.730923594743877
2021-09-17,493150.723338872,predicted,6,continued_trend,739098,493150.723338872,0.667233199574173,245947.276661128,2046.67146474868,0.00832158620552093,2021-10-10,0.730923594743877
2021-09-18,495197.394803614,predicted,6,continued_trend,739098,495197.394803614,0.670002347190242,243900.605196387,2046.67146474123,0.00839141609793575,2021-10-10,0.730923594743877
2021-09-19,497244.066268362,predicted,6,continued_trend,739098,497244.066268362,0.672771494806321,241853.933731638,2046.67146474868,0.00846242785126528,2021-10-10,0.730923594743877
2021-09-20,499290.737733103,predicted,6,continued_trend,739098,499290.737733103,0.67554064242239,239807.262266897,2046.67146474123,0.00853465172569861,2021-10-10,0.730923594743877
2021-09-21,501337.409197852,predicted,6,continued_trend,739098,501337.409197852,0.678309790038469,237760.590802148,2046.67146474868,0.00860811902360982,2021-10-10,0.730923594743877
2021-09-22,503384.080662593,predicted,6,continued_trend,739098,503384.080662593,0.681078937654537,235713.919337407,2046.67146474123,0.00868286213429583,2021-10-10,0.730923594743877
2021-09-23,505430.752127342,predicted,6,continued_trend,739098,505430.752127342,0.683848085270616,233667.247872658,2046.67146474868,0.00875891458209007,2021-10-10,0.730923594743877
2021-09-24,507477.423592083,predicted,6,continued_trend,739098,507477.423592083,0.686617232886685,231620.576407917,2046.67146474123,0.00883631107599331,2021-10-10,0.730923594743877
2021-09-25,509524.095056832,predicted,6,continued_trend,739098,509524.095056832,0.689386380502764,229573.904943168,2046.67146474868,0.00891508756300217,2021-10-10,0.730923594743877
2021-09-26,511570.766521573,predicted,6,continued_trend,739098,511570.766521573,0.692155528118833,227527.233478427,2046.67146474123,0.00899528128326355,2021-10-10,0.730923594743877
2021-09-27,513617.437986322,predicted,6,continued_trend,739098,513617.437986322,0.694924675734912,225480.562013678,2046.67146474868,0.00907693082929483,2021-10-10,0.730923594743877
2021-09-28,515664.109451063,predicted,6,continued_trend,739098,515664.109451063,0.697693823350981,223433.890548937,2046.67146474123,0.00916007620738701,2021-10-10,0.730923594743877
2021-09-29,517710.780915812,predicted,6,continued_trend,739098,517710.780915812,0.700462970967059,221387.219084188,2046.67146474868,0.0092447589034956,2021-10-10,0.730923594743877
2021-09-30,519757.452380553,predicted,6,continued_trend,739098,519757.452380553,0.703232118583128,219340.547619447,2046.67146474123,0.00933102195172859,2021-10-10,0.730923594743877
2021-10-01,521804.123845302,predicted,6,continued_trend,739098,521804.123845302,0.706001266199207,217293.876154698,2046.67146474868,0.00941891000780708,2021-10-10,0.730923594743877
2021-10-02,523850.79531005,predicted,6,continued_trend,739098,523850.79531005,0.708770413815286,215247.20468995,2046.67146474868,0.00950846942563916,2021-10-10,0.730923594743877
2021-10-03,525897.466774792,predicted,6,continued_trend,739098,525897.466774792,0.711539561431355,213200.533225209,2046.67146474123,0.00959974833918115,2021-10-10,0.730923594743877
2021-10-04,527944.13823954,predicted,6,continued_trend,739098,527944.13823954,0.714308709047434,211153.86176046,2046.67146474868,0.00969279674870685,2021-10-10,0.730923594743877
2021-10-05,529990.809704281,predicted,6,continued_trend,739098,529990.809704281,0.717077856663503,209107.190295719,2046.67146474123,0.00978766661178334,2021-10-10,0.730923594743877
2021-10-06,532037.48116903,predicted,6,continued_trend,739098,532037.48116903,0.719847004279581,207060.51883097,2046.67146474868,0.00988441194054692,2021-10-10,0.730923594743877
