covid_region,pop,scenario,date,persons_first_vaccinated,model,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc,date_ceiling,persons_first_vaccinated_perc_ceiling
2,1243906,trend_past30days,2021-09-26,666881.112903226,predicted,666881.112903226,0.536118575602358,577024.887096774,1566.88911290467,0.00271546192884031,,
2,1243906,trend_past30days,2021-09-27,668448.002016127,predicted,668448.002016127,0.537378227949803,575457.997983873,1566.88911290094,0.00272285573993335,,
2,1243906,trend_past30days,2021-09-28,670014.891129032,predicted,670014.891129032,0.538637880297251,573891.108870968,1566.88911290467,0.00273028992553527,,
2,1243906,trend_past30days,2021-09-29,671581.780241937,predicted,671581.780241937,0.539897532644699,572324.219758064,1566.88911290467,0.00273776481723425,,
2,1243906,trend_past30days,2021-09-30,673148.669354838,predicted,673148.669354838,0.541157184992144,570757.330645163,1566.88911290094,0.00274528075027927,,
2,1243906,trend_past30days,2021-10-01,674715.558467742,predicted,674715.558467742,0.542416837339592,569190.441532258,1566.88911290467,0.00275283806363053,,
2,1243906,trend_past30days,2021-10-02,676282.447580643,predicted,676282.447580643,0.543676489687037,567623.552419357,1566.88911290094,0.00276043709994495,,
2,1243906,trend_past30days,2021-10-03,677849.336693548,predicted,677849.336693548,0.544936142034485,566056.663306452,1566.88911290467,0.00276807820572617,,
2,1243906,trend_past30days,2021-10-04,679416.225806452,predicted,679416.225806452,0.546195794381933,564489.774193548,1566.88911290467,0.00277576173127881,,
2,1243906,trend_past30days,2021-10-05,680983.114919353,predicted,680983.114919353,0.547455446729378,562922.885080647,1566.88911290094,0.00278348803082764,,
2,1243906,trend_past30days,2021-10-06,682550.004032258,predicted,682550.004032258,0.548715099076826,561355.995967742,1566.88911290467,0.0027912574625723,,
2,1243906,trend_past30days,2021-10-07,684116.893145159,predicted,684116.893145159,0.549974751424271,559789.106854841,1566.88911290094,0.00279907038867631,,
2,1243906,trend_past30days,2021-10-08,685683.782258064,predicted,685683.782258064,0.551234403771719,558222.217741937,1566.88911290467,0.00280692717542288,,
2,1243906,trend_past30days,2021-10-09,687250.671370968,predicted,687250.671370968,0.552494056119167,556655.328629032,1566.88911290467,0.00281482819317244,,
2,1243906,trend_past30days,2021-10-10,688817.560483869,predicted,688817.560483869,0.553753708466612,555088.439516131,1566.88911290094,0.00282277381648733,,
2,1243906,trend_past30days,2021-10-11,690384.449596774,predicted,690384.449596774,0.55501336081406,553521.550403226,1566.88911290467,0.00283076442419131,,
2,1243906,trend_past30days,2021-10-12,691951.338709679,predicted,691951.338709679,0.556273013161508,551954.661290322,1566.88911290467,0.00283880039936922,,
2,1243906,trend_past30days,2021-10-13,693518.22782258,predicted,693518.22782258,0.557532665508953,550387.772177421,1566.88911290094,0.0028468821294886,,
2,1243906,trend_past30days,2021-10-14,695085.116935484,predicted,695085.116935484,0.558792317856401,548820.883064516,1566.88911290467,0.0028550100064623,,
2,1243906,trend_past30days,2021-10-15,696652.006048385,predicted,696652.006048385,0.560051970203846,547253.993951615,1566.88911290094,0.00286318442664391,,
2,1243906,trend_past30days,2021-10-16,698218.89516129,predicted,698218.89516129,0.561311622551294,545687.10483871,1566.88911290467,0.00287140579099408,,
2,1243906,trend_past30days,2021-10-17,699785.784274194,predicted,699785.784274194,0.562571274898742,544120.215725806,1566.88911290467,0.00287967450504404,,
2,1243906,trend_past30days,2021-10-18,701352.673387095,predicted,701352.673387095,0.563830927246187,542553.326612905,1566.88911290094,0.00288799097903029,,
2,1243906,trend_past30days,2021-10-19,702919.5625,predicted,702919.5625,0.565090579593635,540986.4375,1566.88911290467,0.0028963556279628,,
2,1243906,trend_past30days,2021-10-20,704486.451612901,predicted,704486.451612901,0.56635023194108,539419.548387099,1566.88911290094,0.00290476887162515,,
2,1243906,trend_past30days,2021-10-21,706053.340725806,predicted,706053.340725806,0.567609884288528,537852.659274194,1566.88911290467,0.00291323113474814,,
2,1243906,trend_past30days,2021-10-22,707620.22983871,predicted,707620.22983871,0.568869536635976,536285.77016129,1566.88911290467,0.00292174284697769,,
